   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Picked  : |              610291 ns|              610296 ns|RD-NONSEQ | A582D838 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
             |              610291 ns|              610296 ns|RD-NONSEQ | A582D838 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
   Picked  : |              610266 ns|              610296 ns|WR-DATA   | A582DB94 |  1/ 1 | -- | 77DA1F58 |  OKAY  | ---- | ------- | - | ---------- |
             |              610266 ns|              610296 ns|WR-DATA   | A582DB94 |  1/ 1 | -- | 77DA1F58 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610316 ns|              610321 ns|WR-NONSEQ | A582DA80 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
             |              610316 ns|              610321 ns|WR-NONSEQ | A582DA80 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
   Picked  : |              610296 ns|              610321 ns|RD-DATA   | A582D838 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610296 ns|              610321 ns|RD-DATA   | A582D838 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610346 ns|              610351 ns|RD-NONSEQ | A582DBF8 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
             |              610346 ns|              610351 ns|RD-NONSEQ | A582DBF8 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
   Picked  : |              610321 ns|              610351 ns|WR-DATA   | A582DA80 |  1/ 1 | -- | A132F891 |  OKAY  | ---- | ------- | - | ---------- |
             |              610321 ns|              610351 ns|WR-DATA   | A582DA80 |  1/ 1 | -- | A132F891 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610371 ns|              610376 ns|WR-NONSEQ | A582DA70 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 2 |           0|
             |              610371 ns|              610376 ns|WR-NONSEQ | A582DA70 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 2 |           0|
   Picked  : |              610351 ns|              610376 ns|RD-DATA   | A582DBF8 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610351 ns|              610376 ns|RD-DATA   | A582DBF8 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610401 ns|              610406 ns|RD-NONSEQ | A582D838 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
