   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_6_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Picked  : |              620671 ns|              620676 ns|WR-NONSEQ | F832119C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              620671 ns|              620676 ns|WR-NONSEQ | F832119C | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              620676 ns|              620916 ns|WR-DATA   | F832119C |  1/ ? | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
             |              620676 ns|              620916 ns|WR-DATA   | F832119C |  1/ ? | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              620951 ns|              620956 ns|RD-NONSEQ | F832119C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              620951 ns|              620956 ns|RD-NONSEQ | F832119C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              620956 ns|              621181 ns|RD-DATA   | F832119C |  1/ 1 | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
             |              620956 ns|              621181 ns|RD-DATA   | F832119C |  1/ 1 | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              621226 ns|              621231 ns|WR-NONSEQ | F83211A0 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
             |              621226 ns|              621231 ns|WR-NONSEQ | F83211A0 | ----- |  ? | -------- |  ----  |INCR  |    4    | 1 |           0|
   Picked  : |              621231 ns|              621476 ns|WR-DATA   | F83211A0 |  1/ ? | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
             |              621231 ns|              621476 ns|WR-DATA   | F83211A0 |  1/ ? | -- | 00000003 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              621511 ns|              621516 ns|RD-NONSEQ | F83211A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
