Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              678961 ns|              678966 ns|WR-DATA   | AFCD6D78 |  4/ 4 | -- | B9FF1366 |  OKAY  | ---- | ------- | - | ---------- |
|              678966 ns|              679006 ns|WR-NONSEQ | AFCD6D80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              678966 ns|              679006 ns|WR-DATA   | AFCD6D7C |  1/ 4 | -- | B5A3453E |  OKAY  | ---- | ------- | - | ---------- |
|              679006 ns|              679016 ns|WR-DATA   | AFCD6D80 |  2/ 4 | -- | 18DBD1AA |  OKAY  | ---- | ------- | - | ---------- |
|              679016 ns|              679021 ns|WR-DATA   | AFCD6D84 |  3/ 4 | -- | 5B61E983 |  OKAY  | ---- | ------- | - | ---------- |
|              679021 ns|              679026 ns|WR-DATA   | AFCD6D88 |  4/ 4 | -- | F32E217A |  OKAY  | ---- | ------- | - | ---------- |
|              679026 ns|              679066 ns|WR-NONSEQ | AFCD6D90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              679026 ns|              679066 ns|WR-DATA   | AFCD6D8C |  1/ 4 | -- | AA6788A5 |  OKAY  | ---- | ------- | - | ---------- |
|              679066 ns|              679076 ns|WR-DATA   | AFCD6D90 |  2/ 4 | -- | A49BFD81 |  OKAY  | ---- | ------- | - | ---------- |
|              679076 ns|              679081 ns|WR-DATA   | AFCD6D94 |  3/ 4 | -- | 09720362 |  OKAY  | ---- | ------- | - | ---------- |
|              679081 ns|              679086 ns|WR-DATA   | AFCD6D98 |  4/ 4 | -- | 7147790F |  OKAY  | ---- | ------- | - | ---------- |
|              679086 ns|              679131 ns|WR-NONSEQ | AFCD6DA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              679086 ns|              679131 ns|WR-DATA   | AFCD6D9C |  1/ 4 | -- | B8ABADD1 |  OKAY  | ---- | ------- | - | ---------- |
|              679131 ns|              679141 ns|WR-DATA   | AFCD6DA0 |  2/ 4 | -- | 22F17244 |  OKAY  | ---- | ------- | - | ---------- |
|              679141 ns|              679146 ns|WR-DATA   | AFCD6DA4 |  3/ 4 | -- | 448A3B57 |  OKAY  | ---- | ------- | - | ---------- |
|              679146 ns|              679151 ns|WR-DATA   | AFCD6DA8 |  4/ 4 | -- | 528D20CE |  OKAY  | ---- | ------- | - | ---------- |
|              679151 ns|              679196 ns|WR-NONSEQ | AFCD6DB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              679151 ns|              679196 ns|WR-DATA   | AFCD6DAC |  1/ 4 | -- | 9195B4A2 |  OKAY  | ---- | ------- | - | ---------- |
|              679196 ns|              679206 ns|WR-DATA   | AFCD6DB0 |  2/ 4 | -- | 4E7008DF |  OKAY  | ---- | ------- | - | ---------- |
|              679206 ns|              679211 ns|WR-DATA   | AFCD6DB4 |  3/ 4 | -- | C2F275AA |  OKAY  | ---- | ------- | - | ---------- |
|              679211 ns|              679216 ns|WR-DATA   | AFCD6DB8 |  4/ 4 | -- | A6C75827 |  OKAY  | ---- | ------- | - | ---------- |
|              679216 ns|              679261 ns|WR-NONSEQ | AFCD6DC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              679216 ns|              679261 ns|WR-DATA   | AFCD6DBC |  1/ 4 | -- | B23C9C06 |  OKAY  | ---- | ------- | - | ---------- |
|              679261 ns|              679271 ns|WR-DATA   | AFCD6DC0 |  2/ 4 | -- | E395B601 |  OKAY  | ---- | ------- | - | ---------- |
|              679271 ns|              679276 ns|WR-DATA   | AFCD6DC4 |  3/ 4 | -- | 488440A6 |  OKAY  | ---- | ------- | - | ---------- |
|              679276 ns|              679281 ns|WR-DATA   | AFCD6DC8 |  4/ 4 | -- | 9A1C1DEF |  OKAY  | ---- | ------- | - | ---------- |
|              679281 ns|              679326 ns|WR-NONSEQ | AFCD6DD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              679281 ns|              679326 ns|WR-DATA   | AFCD6DCC |  1/ 4 | -- | 01B11AC4 |  OKAY  | ---- | ------- | - | ---------- |
|              679326 ns|              679336 ns|WR-DATA   | AFCD6DD0 |  2/ 4 | -- | B89F95CF |  OKAY  | ---- | ------- | - | ---------- |
|              679336 ns|              679341 ns|WR-DATA   | AFCD6DD4 |  3/ 4 | -- | B6C32B00 |  OKAY  | ---- | ------- | - | ---------- |
|              679341 ns|              679346 ns|WR-DATA   | AFCD6DD8 |  4/ 4 | -- | 701CAD5E |  OKAY  | ---- | ------- | - | ---------- |
|              679346 ns|              679391 ns|WR-NONSEQ | AFCD6DE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              679346 ns|              679391 ns|WR-DATA   | AFCD6DDC |  1/ 4 | -- | 92BCC385 |  OKAY  | ---- | ------- | - | ---------- |
|              679391 ns|              679401 ns|WR-DATA   | AFCD6DE0 |  2/ 4 | -- | EB756CF1 |  OKAY  | ---- | ------- | - | ---------- |
|              679401 ns|              679406 ns|WR-DATA   | AFCD6DE4 |  3/ 4 | -- | 5929B4FD |  OKAY  | ---- | ------- | - | ---------- |
|              679406 ns|              679411 ns|WR-DATA   | AFCD6DE8 |  4/ 4 | -- | 459ADB47 |  OKAY  | ---- | ------- | - | ---------- |
|              679411 ns|              679456 ns|WR-NONSEQ | AFCD6DF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              679411 ns|              679456 ns|WR-DATA   | AFCD6DEC |  1/ 4 | -- | 08EE5C6B |  OKAY  | ---- | ------- | - | ---------- |
|              679456 ns|              679466 ns|WR-DATA   | AFCD6DF0 |  2/ 4 | -- | 1F67AEBE |  OKAY  | ---- | ------- | - | ---------- |
|              679466 ns|              679471 ns|WR-DATA   | AFCD6DF4 |  3/ 4 | -- | C5D32F02 |  OKAY  | ---- | ------- | - | ---------- |
|              679471 ns|              679476 ns|WR-DATA   | AFCD6DF8 |  4/ 4 | -- | D2437C24 |  OKAY  | ---- | ------- | - | ---------- |
|              679476 ns|              679521 ns|WR-NONSEQ | AFCD6E00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              679476 ns|              679521 ns|WR-DATA   | AFCD6DFC |  1/ 4 | -- | C0CAA36E |  OKAY  | ---- | ------- | - | ---------- |
|              679521 ns|              679531 ns|WR-DATA   | AFCD6E00 |  2/ 4 | -- | D0E77423 |  OKAY  | ---- | ------- | - | ---------- |
|              679531 ns|              679536 ns|WR-DATA   | AFCD6E04 |  3/ 4 | -- | 8A1BCBA8 |  OKAY  | ---- | ------- | - | ---------- |
|              679536 ns|              679541 ns|WR-DATA   | AFCD6E08 |  4/ 4 | -- | 7CBDFE7C |  OKAY  | ---- | ------- | - | ---------- |
|              679541 ns|              679586 ns|WR-NONSEQ | AFCD6E10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              679541 ns|              679586 ns|WR-DATA   | AFCD6E0C |  1/ 4 | -- | D7E8C837 |  OKAY  | ---- | ------- | - | ---------- |
|              679586 ns|              679596 ns|WR-DATA   | AFCD6E10 |  2/ 4 | -- | 65F8D6F0 |  OKAY  | ---- | ------- | - | ---------- |
|              679596 ns|              679601 ns|WR-DATA   | AFCD6E14 |  3/ 4 | -- | 3D60CBFF |  OKAY  | ---- | ------- | - | ---------- |
|              679601 ns|              679606 ns|WR-DATA   | AFCD6E18 |  4/ 4 | -- | EA6FA026 |  OKAY  | ---- | ------- | - | ---------- |
|              679606 ns|              679646 ns|WR-NONSEQ | AFCD6E20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              679606 ns|              679646 ns|WR-DATA   | AFCD6E1C |  1/ 4 | -- | F2C38361 |  OKAY  | ---- | ------- | - | ---------- |
|              679646 ns|              679656 ns|WR-DATA   | AFCD6E20 |  2/ 4 | -- | 73B529F4 |  OKAY  | ---- | ------- | - | ---------- |
|              679656 ns|              679661 ns|WR-DATA   | AFCD6E24 |  3/ 4 | -- | 7A50C97A |  OKAY  | ---- | ------- | - | ---------- |
|              679661 ns|              679666 ns|WR-DATA   | AFCD6E28 |  4/ 4 | -- | 41366BE8 |  OKAY  | ---- | ------- | - | ---------- |
