   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
             |              299035 ns|              299040 ns|WR-NONSEQ | 48250020 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              299040 ns|              299950 ns|WR-DATA   | 48250020 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              299040 ns|              299950 ns|WR-DATA   | 48250020 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              300000 ns|              300005 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              300000 ns|              300005 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              300005 ns|              300910 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E01 |  OKAY  | ---- | ------- | - | ---------- |
             |              300005 ns|              300910 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E01 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              300965 ns|              300970 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              300965 ns|              300970 ns|WR-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              300970 ns|              301870 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
             |              300970 ns|              301870 ns|WR-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              302320 ns|              302325 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              302320 ns|              302325 ns|RD-NONSEQ | 4826017C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              302325 ns|              303230 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
             |              302325 ns|              303230 ns|RD-DATA   | 4826017C |  1/ 1 | -- | 20801E41 |  OKAY  | ---- | ------- | - | ---------- |
