Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6862506 ps|             6867456 ps|WR-NONSEQ | 3FF17370 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 7 |           0|
|             6862506 ps|             6867456 ps|WR-DATA   | 3FF17360 |  1/ 1 | -- | 4FEF04F7 |  OKAY  | ---- | ------- | - | ---------- |
|             6867456 ps|             6872382 ps|WR-NONSEQ | 3FF17380 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
|             6867456 ps|             6872382 ps|WR-DATA   | 3FF17370 |  1/ 1 | -- | 79C39A86 |  OKAY  | ---- | ------- | - | ---------- |
|             6872382 ps|             6877282 ps|WR-NONSEQ | 3FF17390 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6872382 ps|             6877282 ps|WR-DATA   | 3FF17380 |  1/ 1 | -- | B7FDF7B0 |  OKAY  | ---- | ------- | - | ---------- |
|             6877282 ps|             6882232 ps|WR-NONSEQ | 3FF173A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6877282 ps|             6882232 ps|WR-DATA   | 3FF17390 |  1/ 1 | -- | 88EA437A |  OKAY  | ---- | ------- | - | ---------- |
|             6882232 ps|             6887258 ps|WR-NONSEQ | 3FF173B0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6882232 ps|             6887258 ps|WR-DATA   | 3FF173A0 |  1/ 1 | -- | 9C956BAE |  OKAY  | ---- | ------- | - | ---------- |
|             6887258 ps|             6892308 ps|WR-NONSEQ | 3FF173C0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6887258 ps|             6892308 ps|WR-DATA   | 3FF173B0 |  1/ 1 | -- | D2680E34 |  OKAY  | ---- | ------- | - | ---------- |
|             6892308 ps|             6897308 ps|WR-NONSEQ | 3FF173D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6892308 ps|             6897308 ps|WR-DATA   | 3FF173C0 |  1/ 1 | -- | E8117561 |  OKAY  | ---- | ------- | - | ---------- |
|             6897308 ps|             6902334 ps|WR-NONSEQ | 3FF173E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
|             6897308 ps|             6902334 ps|WR-DATA   | 3FF173D0 |  1/ 1 | -- | 56BC65BF |  OKAY  | ---- | ------- | - | ---------- |
|             6902334 ps|             6907260 ps|WR-NONSEQ | 3FF173F0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
